,p1_code,p1_guess,p1_correct,p1_chose_x1,p1_chose_x2,p1_chose_x3,p1__chose_x4,p1_chose_x5,p1_revealed,round_number_modif,p1_number_variables,group.id_in_subsession,p1_x1,p1_x2,p1_x3,p1_x4,p1_x5,p1_y,session.code,p2_code,p2_guess,p2_correct,p2_chose_x1,p2_chose_x2,p2_chose_x3,p2_chose_x4,p2_chose_x5,p2_revealed,p2_number_variables,p2_x1,p2_x2,p2_x3,p2_x4,p2_x5,p2_y,polarized,p1_prediction,p2_prediction,predicted_polarization
18,h1ybzcse,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4,27,4.0,1,0.0,-10.0,1.0,-4.0,101.0,0.0,1jia4yj2,ezx9jjc8,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3,4.0,0.0,-8.0,4.0,0.0,105.0,1.0,1.0,0,0,0.0
19,wqoj34fk,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2,27,2.0,2,0.0,-9.0,7.0,-4.0,95.0,1.0,1jia4yj2,ckomyy0d,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,-9.0,7.0,-4.0,95.0,1.0,0.0,1,1,0.0
20,thcxnun5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2,27,2.0,3,0.0,-12.0,11.0,4.0,100.0,1.0,1jia4yj2,df1mz2c9,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2,2.0,0.0,-8.0,8.0,-3.0,100.0,1.0,0.0,1,1,0.0
21,h1ybzcse,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,28,2.0,1,-1.0,-12.0,6.0,0.0,105.0,0.0,1jia4yj2,ezx9jjc8,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,2.0,1.0,-12.0,7.0,-4.0,104.0,1.0,0.0,1,1,0.0
22,wqoj34fk,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2,28,2.0,2,-1.0,-7.0,5.0,-9.0,98.0,0.0,1jia4yj2,ckomyy0d,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2.0,-1.0,-7.0,5.0,-9.0,98.0,0.0,0.0,1,0,1.0
23,thcxnun5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,28,1.0,3,1.0,-8.0,6.0,-2.0,102.0,1.0,1jia4yj2,df1mz2c9,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3,3.0,2.0,-12.0,1.0,-10.0,90.0,0.0,0.0,1,0,1.0
24,h1ybzcse,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,29,1.0,1,0.0,-5.0,6.0,-3.0,96.0,1.0,1jia4yj2,ezx9jjc8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5,5.0,0.0,-8.0,9.0,-5.0,97.0,1.0,1.0,1,1,0.0
25,wqoj34fk,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,29,1.0,2,0.0,-11.0,4.0,-2.0,90.0,1.0,1jia4yj2,ckomyy0d,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,4.0,0.0,-11.0,4.0,-2.0,90.0,1.0,0.0,1,1,0.0
26,thcxnun5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,29,1.0,3,0.0,-12.0,3.0,-7.0,107.0,0.0,1jia4yj2,df1mz2c9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4,4.0,0.0,-9.0,4.0,-1.0,109.0,1.0,0.0,0,1,1.0
27,h1ybzcse,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4,30,4.0,1,-2.0,-8.0,10.0,-3.0,95.0,1.0,1jia4yj2,ezx9jjc8,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,2.0,0.0,-11.0,5.0,-3.0,96.0,1.0,1.0,1,1,0.0
28,wqoj34fk,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4,30,4.0,2,0.0,-9.0,0.0,-8.0,100.0,0.0,1jia4yj2,ckomyy0d,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2.0,0.0,-9.0,0.0,-8.0,100.0,0.0,0.0,0,0,0.0
29,thcxnun5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,30,1.0,3,0.0,-7.0,5.0,0.0,106.0,1.0,1jia4yj2,df1mz2c9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3.0,0.0,-10.0,6.0,0.0,92.0,1.0,0.0,1,1,0.0
30,h1ybzcse,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5,31,5.0,1,0.0,-9.0,7.0,-11.0,96.0,0.0,1jia4yj2,ezx9jjc8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,-10.0,3.0,-7.0,104.0,0.0,1.0,1,1,0.0
31,wqoj34fk,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3,31,3.0,2,0.0,-6.0,5.0,-7.0,100.0,1.0,1jia4yj2,ckomyy0d,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,4.0,0.0,-6.0,5.0,-7.0,100.0,1.0,0.0,1,0,1.0
32,thcxnun5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3,31,3.0,3,0.0,-7.0,3.0,-6.0,100.0,1.0,1jia4yj2,df1mz2c9,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2,2.0,1.0,-10.0,3.0,-12.0,100.0,0.0,1.0,1,0,1.0
33,h1ybzcse,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,32,1.0,1,0.0,-10.0,0.0,-2.0,100.0,0.0,1jia4yj2,ezx9jjc8,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3,5.0,0.0,-9.0,3.0,-2.0,109.0,1.0,1.0,0,0,0.0
34,wqoj34fk,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4,32,4.0,2,-1.0,-11.0,4.0,0.0,100.0,0.0,1jia4yj2,ckomyy0d,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3.0,-1.0,-11.0,4.0,0.0,100.0,0.0,0.0,1,1,0.0
35,thcxnun5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4,32,4.0,3,0.0,-13.0,5.0,-5.0,106.0,0.0,1jia4yj2,df1mz2c9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2,2.0,-1.0,-7.0,0.0,-8.0,100.0,0.0,1.0,0,0,0.0
36,h1ybzcse,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2,33,2.0,1,1.0,-8.0,8.0,-9.0,103.0,1.0,1jia4yj2,ezx9jjc8,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3,3.0,1.0,-12.0,3.0,-1.0,93.0,1.0,1.0,0,1,1.0
37,wqoj34fk,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2,33,2.0,2,2.0,-9.0,8.0,-6.0,106.0,1.0,1jia4yj2,ckomyy0d,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5.0,2.0,-9.0,8.0,-6.0,106.0,1.0,1.0,1,0,1.0
38,thcxnun5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,33,2.0,3,0.0,-15.0,9.0,-6.0,95.0,0.0,1jia4yj2,df1mz2c9,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3.0,0.0,-5.0,-2.0,-4.0,96.0,0.0,1.0,0,0,0.0
39,h1ybzcse,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4,34,4.0,1,1.0,-12.0,3.0,-1.0,102.0,1.0,1jia4yj2,ezx9jjc8,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4,4.0,1.0,-11.0,6.0,-6.0,97.0,1.0,1.0,0,1,1.0
40,wqoj34fk,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4,34,4.0,2,-1.0,-8.0,0.0,-12.0,100.0,0.0,1jia4yj2,ckomyy0d,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,4.0,-1.0,-8.0,0.0,-12.0,100.0,0.0,0.0,0,0,0.0
41,thcxnun5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,34,1.0,3,0.0,-11.0,7.0,-8.0,95.0,0.0,1jia4yj2,df1mz2c9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3.0,0.0,-6.0,10.0,-7.0,104.0,1.0,0.0,1,1,0.0
42,h1ybzcse,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2,35,2.0,1,1.0,-11.0,1.0,1.0,97.0,1.0,1jia4yj2,ezx9jjc8,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3,3.0,0.0,-11.0,5.0,-4.0,102.0,1.0,0.0,1,1,0.0
43,wqoj34fk,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2,35,2.0,2,0.0,-8.0,4.0,-2.0,99.0,1.0,1jia4yj2,ckomyy0d,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,5.0,0.0,-8.0,4.0,-2.0,99.0,1.0,0.0,1,1,0.0
44,thcxnun5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4,35,4.0,3,1.0,-10.0,6.0,-5.0,92.0,1.0,1jia4yj2,df1mz2c9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2,2.0,0.0,-10.0,3.0,-3.0,100.0,0.0,0.0,1,0,1.0
45,h1ybzcse,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,36,1.0,1,0.0,-6.0,4.0,-5.0,93.0,1.0,1jia4yj2,ezx9jjc8,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4,4.0,1.0,-11.0,1.0,-7.0,99.0,0.0,1.0,1,0,1.0
46,wqoj34fk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,36,1.0,2,0.0,-10.0,4.0,-9.0,99.0,0.0,1jia4yj2,ckomyy0d,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,3.0,0.0,-10.0,4.0,-9.0,99.0,0.0,0.0,0,0,0.0
47,thcxnun5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,36,1.0,3,0.0,-7.0,9.0,-3.0,98.0,1.0,1jia4yj2,df1mz2c9,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2,2.0,0.0,-9.0,9.0,-6.0,102.0,1.0,0.0,1,1,0.0
48,h1ybzcse,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,37,5.0,1,0.0,-10.0,1.0,-1.0,96.0,0.0,1jia4yj2,ezx9jjc8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,-9.0,8.0,-1.0,103.0,1.0,0.0,0,1,1.0
49,wqoj34fk,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,37,2.0,2,1.0,-12.0,-1.0,0.0,97.0,0.0,1jia4yj2,ckomyy0d,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3.0,1.0,-12.0,-1.0,0.0,97.0,0.0,0.0,1,1,0.0
50,thcxnun5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,37,1.0,3,0.0,-10.0,8.0,-7.0,112.0,1.0,1jia4yj2,df1mz2c9,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,2.0,0.0,-10.0,4.0,-3.0,101.0,1.0,1.0,1,0,1.0
51,h1ybzcse,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4,38,4.0,1,0.0,-10.0,2.0,-6.0,101.0,0.0,1jia4yj2,ezx9jjc8,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3,3.0,1.0,-6.0,8.0,-3.0,96.0,1.0,1.0,0,1,1.0
52,wqoj34fk,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,38,1.0,2,0.0,-11.0,4.0,-6.0,109.0,0.0,1jia4yj2,ckomyy0d,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,-11.0,4.0,-6.0,109.0,0.0,1.0,0,0,0.0
53,thcxnun5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2,38,2.0,3,0.0,-8.0,3.0,-6.0,99.0,0.0,1jia4yj2,df1mz2c9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4,4.0,0.0,-10.0,3.0,-9.0,97.0,0.0,0.0,0,0,0.0
54,h1ybzcse,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,39,1.0,1,0.0,-6.0,-1.0,-3.0,105.0,1.0,1jia4yj2,ezx9jjc8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5,5.0,0.0,-9.0,8.0,-12.0,102.0,1.0,1.0,1,1,0.0
55,wqoj34fk,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4,39,4.0,2,2.0,-11.0,6.0,-10.0,105.0,1.0,1jia4yj2,ckomyy0d,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2.0,2.0,-11.0,6.0,-10.0,105.0,1.0,0.0,1,0,1.0
56,thcxnun5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4,39,4.0,3,1.0,-7.0,8.0,-1.0,93.0,1.0,1jia4yj2,df1mz2c9,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2,2.0,0.0,-12.0,4.0,-5.0,97.0,0.0,0.0,1,0,1.0
57,h1ybzcse,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3,40,3.0,1,0.0,-9.0,0.0,-7.0,95.0,0.0,1jia4yj2,ezx9jjc8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,-10.0,8.0,3.0,100.0,1.0,1.0,0,1,1.0
58,wqoj34fk,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2,40,2.0,2,0.0,-9.0,4.0,-5.0,97.0,1.0,1jia4yj2,ckomyy0d,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2.0,0.0,-9.0,4.0,-5.0,97.0,1.0,0.0,1,1,0.0
59,thcxnun5,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3,40,3.0,3,0.0,-8.0,4.0,-7.0,99.0,0.0,1jia4yj2,df1mz2c9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4,4.0,0.0,-7.0,8.0,-4.0,86.0,1.0,0.0,1,1,0.0
60,h1ybzcse,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2,41,2.0,1,-1.0,-10.0,6.0,-8.0,90.0,0.0,1jia4yj2,ezx9jjc8,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,2.0,0.0,-9.0,6.0,-6.0,90.0,1.0,1.0,0,1,1.0
61,wqoj34fk,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2,41,2.0,2,0.0,-6.0,6.0,-4.0,101.0,1.0,1jia4yj2,ckomyy0d,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,4.0,0.0,-6.0,6.0,-4.0,101.0,1.0,0.0,1,1,0.0
62,thcxnun5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3,41,3.0,3,0.0,-7.0,9.0,-2.0,88.0,1.0,1jia4yj2,df1mz2c9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3.0,0.0,-9.0,6.0,-10.0,95.0,1.0,1.0,1,1,0.0
63,h1ybzcse,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4,42,4.0,1,0.0,-9.0,0.0,-4.0,101.0,0.0,1jia4yj2,ezx9jjc8,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3,5.0,0.0,-8.0,7.0,-4.0,106.0,1.0,1.0,0,1,1.0
64,wqoj34fk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,42,5.0,2,0.0,-9.0,6.0,1.0,104.0,1.0,1jia4yj2,ckomyy0d,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,5.0,0.0,-9.0,6.0,1.0,104.0,1.0,0.0,1,1,0.0
65,thcxnun5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,42,1.0,3,-1.0,-11.0,0.0,-4.0,95.0,0.0,1jia4yj2,df1mz2c9,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4,4.0,0.0,-9.0,6.0,-8.0,99.0,1.0,0.0,1,1,0.0
66,h1ybzcse,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3,43,3.0,1,0.0,-11.0,3.0,-5.0,105.0,0.0,1jia4yj2,ezx9jjc8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3,3.0,0.0,-9.0,4.0,-13.0,103.0,0.0,1.0,0,1,1.0
67,wqoj34fk,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4,43,4.0,2,0.0,-6.0,6.0,-11.0,107.0,1.0,1jia4yj2,ckomyy0d,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3.0,0.0,-6.0,6.0,-11.0,107.0,1.0,1.0,1,0,1.0
68,thcxnun5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4,43,4.0,3,1.0,-12.0,5.0,-7.0,97.0,0.0,1jia4yj2,df1mz2c9,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,2.0,0.0,-10.0,4.0,0.0,99.0,1.0,1.0,0,0,0.0
69,h1ybzcse,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4,44,4.0,1,0.0,-10.0,2.0,-8.0,99.0,0.0,1jia4yj2,ezx9jjc8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5.0,-1.0,-9.0,7.0,-3.0,104.0,1.0,1.0,0,1,1.0
70,wqoj34fk,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5,44,5.0,2,0.0,-8.0,4.0,-8.0,98.0,0.0,1jia4yj2,ckomyy0d,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,4.0,0.0,-8.0,4.0,-8.0,98.0,0.0,0.0,1,0,1.0
71,thcxnun5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,44,2.0,3,0.0,-12.0,3.0,-6.0,100.0,0.0,1jia4yj2,df1mz2c9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,-10.0,3.0,-2.0,105.0,1.0,1.0,0,0,0.0
72,h1ybzcse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,45,5.0,1,1.0,-9.0,3.0,-5.0,100.0,1.0,1jia4yj2,ezx9jjc8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5.0,1.0,-10.0,8.0,-1.0,100.0,1.0,0.0,1,1,0.0
73,wqoj34fk,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4,45,4.0,2,-1.0,-11.0,8.0,-3.0,103.0,0.0,1jia4yj2,ckomyy0d,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4,4.0,-1.0,-11.0,8.0,-3.0,103.0,0.0,0.0,1,1,0.0
74,thcxnun5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3,45,3.0,3,0.0,-9.0,6.0,6.0,100.0,1.0,1jia4yj2,df1mz2c9,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3,3.0,0.0,-11.0,4.0,-5.0,89.0,0.0,1.0,1,0,1.0
75,h1ybzcse,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3,46,3.0,1,1.0,-11.0,8.0,-1.0,102.0,1.0,1jia4yj2,ezx9jjc8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,2.0,0.0,-12.0,9.0,-1.0,95.0,1.0,1.0,1,1,0.0
76,wqoj34fk,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4,46,4.0,2,0.0,-11.0,5.0,-4.0,97.0,0.0,1jia4yj2,ckomyy0d,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,-11.0,5.0,-4.0,97.0,0.0,1.0,0,1,1.0
77,thcxnun5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,46,5.0,3,0.0,-10.0,9.0,-8.0,92.0,1.0,1jia4yj2,df1mz2c9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4,4.0,1.0,-13.0,3.0,-9.0,96.0,0.0,1.0,1,0,1.0
78,h1ybzcse,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5,47,5.0,1,0.0,-11.0,8.0,-7.0,106.0,0.0,1jia4yj2,ezx9jjc8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,2.0,0.0,-11.0,0.0,-8.0,95.0,0.0,0.0,1,1,0.0
79,wqoj34fk,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2,47,2.0,2,0.0,-11.0,1.0,-5.0,97.0,0.0,1jia4yj2,ckomyy0d,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,5.0,0.0,-11.0,1.0,-5.0,97.0,0.0,1.0,0,0,0.0
80,thcxnun5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,47,1.0,3,0.0,-8.0,13.0,-6.0,102.0,1.0,1jia4yj2,df1mz2c9,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2,2.0,0.0,-8.0,7.0,-9.0,100.0,1.0,1.0,0,1,1.0
81,h1ybzcse,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3,48,3.0,1,0.0,-13.0,1.0,-8.0,105.0,0.0,1jia4yj2,ezx9jjc8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5,5.0,0.0,-11.0,7.0,-2.0,95.0,1.0,0.0,0,1,1.0
82,wqoj34fk,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2,48,2.0,2,0.0,-12.0,4.0,-4.0,102.0,0.0,1jia4yj2,ckomyy0d,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4,4.0,0.0,-12.0,4.0,-4.0,102.0,0.0,1.0,0,0,0.0
