participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.x1,player.x2,player.x3,player.x4,player.x5,player.y,player.chose_x1,player.chose_x2,player.chose_x3,player.chose_x4,player.chose_x5,player.number_variables,player.guess,player.correct,group.id_in_subsession,group.x1,group.x2,group.x3,group.x4,group.x5,group.y,group.polarized,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,0.0,0,-10,2,-6,101,0,1,1,1,1,1,5,1,0,3,0,-10,2,-6,101,0,,5,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,0.0,0,-9,7,-9,102,0,1,0,1,0,0,2,1,0,3,0,-10,2,-6,101,0,,5,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,0,-10,3,6,93,1,0,1,1,1,0,3,1,1,1,0,-10,3,6,93,1,,6,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,1.0,1,-8,8,-6,97,1,0,0,0,0,1,1,1,1,1,0,-10,3,6,93,1,,6,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,0.0,1,-9,4,-1,96,1,1,1,1,1,1,5,0,0,2,1,-9,4,-1,96,1,,6,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,0.0,1,-9,4,-1,96,1,0,1,0,0,0,4,0,0,2,1,-9,4,-1,96,1,,6,1jia4yj2,,,,,0
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,1.0,-1,-7,1,-4,92,0,1,1,0,0,0,2,0,1,3,-1,-7,1,-4,92,0,,6,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,1.0,0,-10,5,3,97,1,0,1,0,0,0,1,1,1,3,-1,-7,1,-4,92,0,,6,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,0,-10,1,-4,101,0,0,1,1,1,1,4,0,1,1,0,-10,1,-4,101,0,,7,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,1.0,0,-8,4,0,105,1,1,0,1,0,1,4,1,1,1,0,-10,1,-4,101,0,,7,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,1.0,0,-9,7,-4,95,1,0,1,0,1,0,2,1,1,2,0,-9,7,-4,95,1,,7,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,1.0,0,-9,7,-4,95,1,0,0,0,1,0,1,1,1,2,0,-9,7,-4,95,1,,7,1jia4yj2,,,,,0
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,1.0,0,-12,11,4,100,1,1,0,0,1,0,2,1,1,3,0,-12,11,4,100,1,,7,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,1.0,0,-8,8,-3,100,1,0,1,1,0,0,2,1,1,3,0,-12,11,4,100,1,,7,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,0.0,-1,-12,6,0,105,0,0,0,1,1,0,2,1,0,1,-1,-12,6,0,105,0,,8,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,1.0,1,-12,7,-4,104,1,1,0,0,0,1,2,1,1,1,-1,-12,6,0,105,0,,8,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,1.0,-1,-7,5,-9,98,0,0,1,0,1,0,2,0,1,2,-1,-7,5,-9,98,0,,8,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,1.0,-1,-7,5,-9,98,0,0,0,0,1,0,2,0,1,2,-1,-7,5,-9,98,0,,8,1jia4yj2,,,,,0
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,1.0,1,-8,6,-2,102,1,0,1,0,0,0,1,1,1,3,1,-8,6,-2,102,1,,8,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,0.0,2,-12,1,-10,90,0,1,1,1,0,0,3,1,0,3,1,-8,6,-2,102,1,,8,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,0,-5,6,-3,96,1,0,0,0,1,0,1,1,1,1,0,-5,6,-3,96,1,,9,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,0.0,0,-8,9,-5,97,1,1,1,1,1,1,5,0,0,1,0,-5,6,-3,96,1,,9,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,1.0,0,-11,4,-2,90,1,0,0,0,1,0,1,1,1,2,0,-11,4,-2,90,1,,9,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,1.0,0,-11,4,-2,90,1,0,0,0,1,0,4,1,1,2,0,-11,4,-2,90,1,,9,1jia4yj2,,,,,0
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,0.0,0,-12,3,-7,107,0,0,0,0,1,0,1,1,0,3,0,-12,3,-7,107,0,,9,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,1.0,0,-9,4,-1,109,1,1,1,1,1,0,4,1,1,3,0,-12,3,-7,107,0,,9,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,0.0,-2,-8,10,-3,95,1,0,1,1,1,1,4,0,0,1,-2,-8,10,-3,95,1,,10,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,1.0,0,-11,5,-3,96,1,1,0,0,0,1,2,1,1,1,-2,-8,10,-3,95,1,,10,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,0.0,0,-9,0,-8,100,0,1,1,1,1,0,4,1,0,2,0,-9,0,-8,100,0,,10,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,0.0,0,-9,0,-8,100,0,0,0,0,1,0,2,1,0,2,0,-9,0,-8,100,0,,10,1jia4yj2,,,,,0
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,1.0,0,-7,5,0,106,1,0,0,0,1,0,1,1,1,3,0,-7,5,0,106,1,,10,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,1.0,0,-10,6,0,92,1,1,1,1,0,0,3,1,1,3,0,-7,5,0,106,1,,10,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,0,-9,7,-11,96,0,1,1,1,1,1,5,0,1,1,0,-9,7,-11,96,0,,11,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,0.0,0,-10,3,-7,104,0,0,0,0,0,1,1,1,0,1,0,-9,7,-11,96,0,,11,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,0.0,0,-6,5,-7,100,1,0,1,1,1,0,3,0,0,2,0,-6,5,-7,100,1,,11,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,0.0,0,-6,5,-7,100,1,0,0,0,1,0,4,0,0,2,0,-6,5,-7,100,1,,11,1jia4yj2,,,,,0
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,0.0,0,-7,3,-6,100,1,0,1,1,1,0,3,0,0,3,0,-7,3,-6,100,1,,11,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,0.0,1,-10,3,-12,100,0,0,1,1,0,0,2,1,0,3,0,-7,3,-6,100,1,,11,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,0,-10,0,-2,100,0,0,0,1,0,0,1,0,1,1,0,-10,0,-2,100,0,,12,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,1.0,0,-9,3,-2,109,1,1,0,1,0,1,5,1,1,1,0,-10,0,-2,100,0,,12,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,0.0,-1,-11,4,0,100,0,0,1,1,1,1,4,1,0,2,-1,-11,4,0,100,0,,12,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,0.0,-1,-11,4,0,100,0,0,0,0,1,0,3,1,0,2,-1,-11,4,0,100,0,,12,1jia4yj2,,,,,0
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,0.0,0,-13,5,-5,106,0,1,1,1,0,1,4,1,0,3,0,-13,5,-5,106,0,,12,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,1.0,-1,-7,0,-8,100,0,0,1,1,0,0,2,0,1,3,0,-13,5,-5,106,0,,12,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,1,-8,8,-9,103,1,0,0,1,1,0,2,1,1,1,1,-8,8,-9,103,1,,13,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,0.0,1,-12,3,-1,93,1,1,0,1,0,1,3,0,0,1,1,-8,8,-9,103,1,,13,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,1.0,2,-9,8,-6,106,1,0,1,0,1,0,2,1,1,2,2,-9,8,-6,106,1,,13,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,0.0,2,-9,8,-6,106,1,0,0,0,1,0,5,0,0,2,2,-9,8,-6,106,1,,13,1jia4yj2,,,,,0
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,0.0,0,-15,9,-6,95,0,0,0,1,1,0,2,1,0,3,0,-15,9,-6,95,0,,13,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,1.0,0,-5,-2,-4,96,0,1,1,1,0,0,3,0,1,3,0,-15,9,-6,95,0,,13,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,1,-12,3,-1,102,1,0,1,1,1,1,4,1,1,1,1,-12,3,-1,102,1,,14,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,0.0,1,-11,6,-6,97,1,1,0,1,1,1,4,0,0,1,1,-12,3,-1,102,1,,14,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,1.0,-1,-8,0,-12,100,0,1,1,1,1,0,4,0,1,2,-1,-8,0,-12,100,0,,14,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,1.0,-1,-8,0,-12,100,0,0,0,0,1,0,4,0,1,2,-1,-8,0,-12,100,0,,14,1jia4yj2,,,,,0
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,0.0,0,-11,7,-8,95,0,0,0,1,0,0,1,1,0,3,0,-11,7,-8,95,0,,14,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,1.0,0,-6,10,-7,104,1,1,1,1,0,0,3,1,1,3,0,-11,7,-8,95,0,,14,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,1,-11,1,1,97,1,0,0,1,1,0,2,1,1,1,1,-11,1,1,97,1,,15,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,1.0,0,-11,5,-4,102,1,1,0,1,0,1,3,1,1,1,1,-11,1,1,97,1,,15,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,1.0,0,-8,4,-2,99,1,0,1,0,1,0,2,1,1,2,0,-8,4,-2,99,1,,15,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,1.0,0,-8,4,-2,99,1,0,0,0,1,0,5,1,1,2,0,-8,4,-2,99,1,,15,1jia4yj2,,,,,0
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,0.0,1,-10,6,-5,92,1,0,1,1,1,1,4,0,0,3,1,-10,6,-5,92,1,,15,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,1.0,0,-10,3,-3,100,0,0,1,1,0,0,2,0,1,3,1,-10,6,-5,92,1,,15,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,0.0,0,-6,4,-5,93,1,0,0,0,1,0,1,0,0,1,0,-6,4,-5,93,1,,16,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,0.0,1,-11,1,-7,99,0,1,0,1,1,1,4,1,0,1,0,-6,4,-5,93,1,,16,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,1.0,0,-10,4,-9,99,0,0,0,0,1,0,1,0,1,2,0,-10,4,-9,99,0,,16,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,1.0,0,-10,4,-9,99,0,0,0,0,1,0,3,0,1,2,0,-10,4,-9,99,0,,16,1jia4yj2,,,,,0
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,1.0,0,-7,9,-3,98,1,0,0,1,0,0,1,1,1,3,0,-7,9,-3,98,1,,16,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,1.0,0,-9,9,-6,102,1,0,1,1,0,0,2,1,1,3,0,-7,9,-3,98,1,,16,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,0.0,0,-10,1,-1,96,0,1,1,1,1,1,5,1,0,1,0,-10,1,-1,96,0,,17,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,1.0,0,-9,8,-1,103,1,0,0,0,0,1,1,1,1,1,0,-10,1,-1,96,0,,17,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,0.0,1,-12,-1,0,97,0,0,0,0,1,1,2,1,0,2,1,-12,-1,0,97,0,,17,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,0.0,1,-12,-1,0,97,0,0,0,0,1,0,3,1,0,2,1,-12,-1,0,97,0,,17,1jia4yj2,,,,,0
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,1.0,0,-10,8,-7,112,1,0,0,0,0,1,1,1,1,3,0,-10,8,-7,112,1,,17,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,0.0,0,-10,4,-3,101,1,0,1,1,0,0,2,0,0,3,0,-10,8,-7,112,1,,17,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,0,-10,2,-6,101,0,0,1,1,1,1,4,0,1,1,0,-10,2,-6,101,0,,18,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,1.0,1,-6,8,-3,96,1,1,0,1,0,1,3,1,1,1,0,-10,2,-6,101,0,,18,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,1.0,0,-11,4,-6,109,0,0,1,0,0,0,1,0,1,2,0,-11,4,-6,109,0,,18,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,0.0,0,-11,4,-6,109,0,0,0,0,1,0,1,1,0,2,0,-11,4,-6,109,0,,18,1jia4yj2,,,,,0
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,1.0,0,-8,3,-6,99,0,0,0,1,1,0,2,0,1,3,0,-8,3,-6,99,0,,18,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,1.0,0,-10,3,-9,97,0,1,1,1,1,0,4,0,1,3,0,-8,3,-6,99,0,,18,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,0,-6,-1,-3,105,1,0,0,0,1,0,1,1,1,1,0,-6,-1,-3,105,1,,19,1jia4yj2,,,,,0
